ord_id,prod_id,quantity,line_total
7377057,65,2,9680.0
7377057,30,2,9570.0
7377058,23,1,4399.0
7377058,6,3,5849.97
7377058,11,1,4700.0
7377058,44,1,6395.0
7377059,43,1,3199.0
7377059,10,2,10198.0
7377060,19,2,9775.0
7377060,23,3,15176.55
7377060,10,3,17591.55
7377061,68,2,8797.8
7377062,45,1,5219.5
7377063,16,3,17397.57
7377063,55,2,7059.98
7377063,7,3,14189.97
7377064,62,2,12481.98
7377065,22,1,7399.0
7377065,43,2,6398.0
7377065,28,3,11999.97
7377065,27,1,4227.99
7377066,24,3,22197.0
7377066,66,2,6798.0
7377066,59,2,9291.98
7377066,25,2,9501.98
7377067,14,1,9200.0
7377067,66,2,7817.7
7377067,38,1,5058.85
7377067,19,2,9775.0
7377068,44,1,7034.5
7377068,15,3,25409.97
7377069,21,2,11598.0
7377069,5,3,10442.97
7377069,44,1,6395.0
7377070,43,1,3199.0
7377070,47,3,12056.97
7377070,38,3,13197.0
7377070,44,2,12790.0
7377071,53,3,22696.98
7377071,44,1,6395.0
7377071,68,1,3999.0
7377071,50,3,16829.97
7377071,66,2,6798.0
7377072,26,1,3064.0
7377073,9,2,6157.8
7377073,44,3,21103.5
7377073,52,3,8708.7
7377073,20,1,4398.9
7377073,37,1,3309.9
7377074,1,1,6488.9
7377074,59,1,5110.59
7377074,63,1,2035.0
7377075,65,3,15180.0
7377076,11,2,9400.0
7377076,63,3,5550.0
7377076,61,1,4199.0
7377077,56,1,4504.99
7377077,1,3,17697.0
7377077,35,1,3999.0
7377078,3,1,6048.9
7377078,18,1,4620.0
7377078,25,2,10452.18
7377078,34,2,12977.8
7377078,5,3,11487.27
7377079,3,2,12097.8
7377079,34,3,19466.7
7377079,24,2,16277.8
7377080,47,1,4018.99
7377080,65,3,13200.0
7377080,49,1,4679.0
7377080,14,2,16000.0
7377081,33,2,10680.98
7377081,50,2,12341.98
7377081,56,1,4955.49
7377081,64,3,11880.0
7377082,2,3,10500.0
7377082,27,1,4227.99
7377083,58,3,11217.0
7377083,1,3,17697.0
7377083,19,1,4250.0
7377084,38,3,13197.0
7377084,36,1,3370.0
7377084,29,1,3799.0
7377084,26,3,9192.0
7377085,65,3,13200.0
7377085,16,2,10543.98
7377085,18,1,4200.0
7377086,65,1,4400.0
7377086,27,2,8455.98
7377086,15,2,15399.98
7377087,40,2,8398.0
7377087,3,3,16497.0
7377087,63,3,5550.0
7377087,69,3,11997.0
7377088,10,2,11217.8
7377089,48,2,10751.98
7377089,31,2,8899.8
7377090,40,2,8398.0
7377090,35,3,11997.0
7377091,34,2,13567.7
7377091,25,1,5463.64
7377092,23,3,13197.0
7377093,35,2,7998.0
7377093,61,3,12597.0
7377093,51,1,3673.99
7377093,52,2,5278.0
7377093,1,2,11798.0
7377094,20,3,13196.7
7377094,6,1,2144.99
7377094,1,1,6488.9
7377095,64,1,3600.0
7377096,61,2,8398.0
7377097,17,3,15887.7
7377097,11,1,4700.0
7377097,49,3,14037.0
7377097,69,2,7998.0
7377098,17,2,10591.8
7377098,44,2,12790.0
7377098,65,2,8800.0
7377098,2,3,10500.0
7377098,45,2,9490.0
7377099,45,1,5456.75
7377100,15,2,17709.98
7377100,30,1,5002.5
7377101,13,1,6380.0
7377101,35,3,13196.7
7377101,34,2,12977.8
7377101,61,3,13856.7
7377102,50,3,19354.47
7377102,7,3,14834.97
7377102,69,3,13796.55
7377102,64,2,8280.0
7377103,50,2,12341.98
7377103,43,1,3518.9
7377103,57,1,2418.9
7377103,33,3,16021.47
7377103,61,2,9237.8
7377104,17,1,5295.9
7377104,1,1,5899.0
7377104,11,3,14100.0
7377105,42,1,5750.0
7377105,47,1,4621.84
7377105,44,2,14708.5
7377105,55,3,11071.33
7377106,41,1,4299.0
7377106,33,1,4854.99
7377106,36,1,3370.0
7377107,26,3,10570.8
7377107,21,1,6668.85
7377107,4,2,8760.68
7377107,58,2,8599.7
7377108,66,3,11726.55
7377108,53,3,26101.53
7377108,42,2,11500.0
7377109,34,1,5899.0
7377109,25,1,4750.99
7377109,20,3,11997.0
7377109,15,2,15399.98
7377109,67,1,3799.0
7377110,44,3,19185.0
7377110,69,2,7998.0
7377111,23,2,8798.0
7377112,33,2,9709.98
7377112,34,3,17697.0
7377112,37,3,9027.0
7377112,7,2,8599.98
7377113,24,3,25526.55
7377113,17,2,12180.57
7377113,45,1,5456.75
7377114,49,1,5380.85
7377114,3,1,6323.85
7377114,18,3,14490.0
7377114,4,3,13141.02
7377115,1,1,5899.0
7377115,34,1,5899.0
7377115,60,3,11997.0
7377115,35,3,11997.0
7377116,19,2,8500.0
7377116,43,2,6398.0
7377116,14,2,16000.0
7377116,33,2,9709.98
7377116,18,3,12600.0
7377117,17,2,10591.8
7377117,60,3,11997.0
7377117,1,2,11798.0
7377118,11,2,9400.0
7377119,36,1,3370.0
7377119,34,3,17697.0
7377119,66,1,3399.0
7377119,5,1,3480.99
7377120,27,3,12683.97
7377120,41,3,12897.0
7377120,10,3,15297.0
7377120,4,1,3808.99
7377121,53,2,17401.02
7377121,55,2,7380.88
7377122,22,2,14798.0
7377123,33,3,14564.97
7377123,24,1,7399.0
7377123,16,3,15815.97
7377123,18,3,12600.0
7377124,25,1,5226.09
7377124,24,3,24416.7
7377125,50,3,16829.97
7377125,68,3,11997.0
7377125,43,2,6398.0
7377126,28,3,13799.97
7377126,24,3,25526.55
7377126,12,3,18975.0
7377127,35,1,4598.85
7377128,59,2,9291.98
7377128,46,3,16127.97
7377128,57,3,6597.0
7377128,66,3,10197.0
7377129,15,2,15399.98
7377130,39,2,10398.0
7377130,49,3,14037.0
7377130,21,3,17397.0
7377130,36,3,10110.0
7377130,12,2,11000.0
7377131,7,3,12899.97
7377132,34,1,5899.0
7377132,13,2,11600.0
7377132,30,2,8700.0
7377133,46,1,5913.59
7377133,45,3,15658.5
7377133,14,2,17600.0
7377134,30,1,4350.0
7377134,9,1,2799.0
7377134,63,3,5550.0
7377134,29,2,7598.0
7377134,66,1,3399.0
7377135,17,2,10591.8
7377135,3,2,10998.0
7377136,20,1,3999.0
7377136,42,1,5000.0
7377136,2,3,10500.0
7377136,65,2,8800.0
7377136,37,3,9027.0
7377137,30,3,15007.5
7377137,43,3,11036.55
7377137,64,2,8280.0
7377138,45,2,9490.0
7377138,41,1,4299.0
7377139,59,2,9291.98
7377139,9,2,5598.0
7377139,20,3,11997.0
7377139,67,1,3799.0
7377140,39,2,10398.0
7377141,50,3,19354.47
7377141,36,1,3875.5
7377141,26,1,3523.6
7377141,61,2,9657.7
7377141,39,3,17936.55
7377142,46,3,16127.97
7377142,51,1,3673.99
7377142,21,1,5799.0
7377143,54,1,6222.05
7377143,42,1,5500.0
7377143,8,1,7127.99
7377143,55,3,10589.96
7377143,69,1,4398.9
7377144,37,3,9929.7
7377144,24,1,8138.9
7377144,66,1,3738.9
7377144,46,2,11827.18
7377145,30,2,8700.0
7377145,54,2,11312.82
7377146,24,3,24416.7
7377147,12,3,16500.0
7377148,45,2,10439.0
7377148,11,2,10340.0
7377148,18,1,4620.0
7377149,35,3,13196.7
7377150,28,3,11999.97
7377150,69,1,3999.0
7377150,19,1,4250.0
7377150,41,3,12897.0
7377151,53,3,22696.98
7377151,14,3,24000.0
7377151,65,2,8800.0
7377151,34,3,17697.0
7377152,54,1,6504.87
7377152,36,1,3875.5
7377152,37,2,6920.7
7377152,10,2,11727.7
7377152,30,3,15007.5
7377153,22,1,7399.0
7377153,32,3,13497.0
7377153,16,3,15815.97
7377153,42,1,5000.0
7377153,27,1,4227.99
7377154,13,2,11600.0
7377155,9,1,2799.0
7377155,56,1,4504.99
7377155,61,3,12597.0
7377155,33,3,14564.97
7377155,18,3,12600.0
7377156,45,2,9490.0
7377156,44,1,6395.0
7377156,12,1,5500.0
7377156,55,1,3209.08
7377157,26,2,6740.8
7377158,2,3,10500.0
7377158,13,3,17400.0
7377158,7,1,4299.99
7377159,49,2,9358.0
7377159,31,1,4449.9
7377159,64,1,3600.0
7377160,54,3,16969.23
7377160,16,3,15815.97
7377161,45,3,15658.5
7377161,13,1,6380.0
7377162,10,3,15297.0
7377162,13,3,17400.0
7377162,61,1,4199.0
7377162,52,2,5278.0
7377163,14,1,8800.0
7377164,29,2,7598.0
7377165,8,3,22355.97
7377165,4,2,8760.68
7377165,69,1,4598.85
7377165,9,1,3218.85
7377166,19,2,8500.0
7377166,42,1,5000.0
7377166,60,3,11997.0
7377166,39,2,10398.0
7377167,18,2,8400.0
7377168,62,3,18722.97
7377168,4,1,3808.99
7377168,66,3,10197.0
7377168,6,2,3899.98
7377169,67,3,13106.55
7377169,38,1,5058.85
7377169,52,1,3034.85
7377170,69,2,9197.7
7377170,5,3,12009.42
7377170,7,2,9889.98
7377171,45,1,4745.0
7377171,25,1,4750.99
7377171,18,2,8400.0
7377171,33,1,4854.99
7377171,34,3,17697.0
7377172,21,3,19136.7
7377172,57,3,7256.7
7377172,27,2,9301.58
7377172,4,2,8379.78
7377173,2,1,4025.0
7377173,17,2,12180.57
7377173,37,2,6920.7
7377173,27,2,9724.38
7377173,62,3,21531.42
7377174,61,3,12597.0
7377174,38,3,13197.0
7377174,60,2,7998.0
7377174,42,3,15000.0
7377174,63,3,5550.0
7377175,32,3,13497.0
7377176,63,2,3700.0
7377176,16,2,10543.98
7377177,57,1,2199.0
7377177,7,2,8599.98
7377177,35,2,7998.0
7377177,48,1,5375.99
7377178,50,3,19354.47
7377178,25,1,5463.64
7377178,11,1,5405.0
7377179,46,3,18547.17
7377179,25,2,10927.28
7377180,33,2,10680.98
7377180,25,3,15678.27
7377181,19,3,12750.0
7377181,8,3,19439.97
7377181,13,3,17400.0
7377181,39,3,15597.0
7377182,61,2,8398.0
7377182,47,3,12056.97
7377182,58,1,3739.0
7377182,52,2,5278.0
7377183,35,3,13196.7
7377183,7,1,4729.99
7377183,16,1,5799.19
7377183,13,3,19140.0
7377184,16,1,6062.79
7377185,68,2,9197.7
7377186,48,3,17740.77
7377187,67,3,12536.7
7377187,50,2,12341.98
7377188,22,1,7399.0
7377189,39,1,5199.0
7377189,48,1,5375.99
7377189,36,3,10110.0
7377190,29,1,4368.85
7377190,3,3,18971.55
7377190,31,2,10234.77
7377191,55,1,3209.08
7377191,26,3,9192.0
7377191,2,1,3500.0
7377192,40,2,8398.0
7377192,11,2,9400.0
7377193,22,3,22197.0
7377193,33,3,14564.97
7377193,7,2,8599.98
7377193,40,2,8398.0
7377193,20,1,3999.0
7377194,8,2,14255.98
7377195,40,1,4199.0
7377195,68,3,11997.0
7377195,54,3,16969.23
7377196,49,2,9358.0
7377196,21,2,11598.0
7377196,31,1,4449.9
7377196,53,2,15131.32
7377196,3,1,5499.0
7377197,20,2,7998.0
7377197,10,3,15297.0
7377197,30,1,4350.0
7377197,43,2,6398.0
7377198,37,1,3309.9
7377198,3,1,6048.9
7377198,16,3,17397.57
7377198,18,2,9240.0
7377198,60,2,8797.8
7377199,55,3,10589.96
7377199,48,3,17740.77
7377200,46,2,10751.98
7377200,18,2,8400.0
7377200,43,1,3199.0
7377200,42,2,10000.0
7377200,5,1,3480.99
7377201,19,1,4675.0
7377201,63,2,4070.0
7377201,11,2,10340.0
7377201,38,3,14516.7
7377202,58,3,11217.0
7377202,5,1,3480.99
7377203,10,2,10198.0
7377203,43,1,3199.0
7377203,66,1,3399.0
7377203,14,2,16000.0
7377204,35,2,8797.8
7377204,3,2,12097.8
7377204,40,1,4618.9
7377204,8,2,14255.98
7377204,48,1,5913.59
7377205,49,1,5146.9
7377205,38,1,4838.9
7377206,49,3,16142.55
7377206,60,3,13796.55
7377206,15,3,26564.97
7377207,24,1,8138.9
7377207,10,3,16826.7
7377207,44,1,7034.5
7377207,6,1,2144.99
7377208,56,1,4504.99
7377208,52,3,7917.0
7377209,8,3,19439.97
7377210,8,2,12959.98
7377210,64,3,10800.0
7377210,2,3,10500.0
7377211,46,1,5375.99
7377211,22,2,14798.0
7377211,26,3,9192.0
7377211,53,1,7565.66
7377212,64,2,7200.0
7377212,46,2,10751.98
7377212,65,2,8800.0
7377212,57,1,2199.0
7377213,6,3,6727.47
7377213,12,1,6325.0
7377214,34,2,11798.0
7377214,36,1,3370.0
7377214,14,3,24000.0
7377215,23,3,15176.55
7377215,52,1,3034.85
7377216,55,3,10589.96
7377216,21,2,12757.8
7377216,41,3,14186.7
7377216,30,3,14355.0
7377217,60,1,4398.9
7377217,57,2,4837.8
7377217,19,2,9350.0
7377217,29,2,8357.8
7377218,12,3,16500.0
7377218,61,3,12597.0
7377218,63,1,1850.0
7377218,52,3,7917.0
7377218,56,2,9009.98
7377219,25,3,14252.97
7377219,22,3,22197.0
7377219,53,2,15131.32
7377220,61,1,4199.0
7377221,2,3,10500.0
7377221,48,2,10751.98
7377221,19,3,12750.0
7377221,46,2,10751.98
7377222,48,3,17740.77
7377223,65,2,8800.0
7377223,44,2,12790.0
7377223,52,3,7917.0
7377224,8,1,6479.99
7377224,64,2,7200.0
7377224,16,1,5271.99
7377225,36,1,3707.0
7377225,23,1,4838.9
7377225,38,3,14516.7
7377225,59,1,5110.59
7377226,47,3,12056.97
7377226,20,2,7998.0
7377227,62,2,14354.28
7377227,29,2,8737.7
7377227,54,2,13009.74
7377228,27,2,9724.38
7377228,67,1,4368.85
7377229,52,3,9104.55
7377230,60,2,7998.0
7377230,3,2,10998.0
7377230,11,3,14100.0
7377230,39,3,15597.0
7377230,45,1,4745.0
7377231,56,3,13514.97
7377231,10,3,15297.0
7377232,51,1,4225.09
7377232,6,3,6727.47
7377232,7,3,14834.97
7377232,32,2,10347.7
7377233,21,2,11598.0
7377233,33,3,14564.97
7377233,62,1,6240.99
7377234,4,1,4380.34
7377234,19,2,9775.0
7377234,12,1,6325.0
7377235,38,1,5058.85
7377235,19,3,14662.5
7377235,21,3,20006.55
7377236,24,1,8508.85
7377237,69,1,3999.0
7377237,16,2,10543.98
7377238,25,3,14252.97
7377239,44,2,14708.5
7377239,34,3,20351.55
7377239,9,3,9656.55
7377239,58,3,12899.55
7377240,32,1,4499.0
7377240,11,3,14100.0
7377240,19,1,4250.0
7377240,36,3,10110.0
7377240,65,1,4400.0
7377241,39,2,10398.0
7377241,2,2,7000.0
7377241,64,3,10800.0
7377242,10,3,15297.0
7377242,28,1,3999.99
7377243,2,3,12075.0
7377243,36,2,7751.0
7377243,64,1,4140.0
7377243,1,1,6783.85
7377243,34,1,6783.85
7377244,68,3,13196.7
7377244,40,2,9237.8
7377244,32,2,9897.8
7377245,62,2,12481.98
7377246,10,1,5099.0
7377246,14,2,16000.0
7377246,15,3,23099.97
7377246,24,1,7399.0
7377246,45,1,4745.0
7377247,46,1,5913.59
7377248,44,1,7354.25
7377248,51,1,4225.09
7377248,68,3,13796.55
7377248,50,2,12902.98
7377248,13,3,20010.0
7377249,3,3,16497.0
7377249,14,3,24000.0
7377250,34,2,11798.0
7377250,22,3,22197.0
7377250,55,3,9627.24
7377251,41,3,14831.55
7377251,27,3,14586.57
7377251,2,2,8050.0
7377251,61,3,14486.55
7377252,17,3,17476.47
7377252,37,2,6619.8
7377252,60,2,8797.8
7377252,13,1,6380.0
7377253,22,2,16277.8
7377253,43,2,7037.8
7377253,42,1,5500.0
7377253,36,3,11121.0
7377253,20,1,4398.9
7377254,33,1,5340.49
7377254,67,1,4178.9
7377255,10,1,5099.0
7377256,46,2,10751.98
7377257,45,1,5456.75
7377257,68,1,4598.85
7377257,64,3,12420.0
7377258,60,1,4598.85
7377258,62,1,7177.14
7377258,52,2,6069.7
7377258,61,2,9657.7
7377258,42,3,17250.0
7377259,25,1,5463.64
7377260,24,1,8508.85
7377260,7,1,4944.99
7377260,18,3,14490.0
7377261,45,3,14235.0
7377262,32,3,13497.0
7377262,14,1,8000.0
7377263,10,1,5608.9
7377263,8,1,7127.99
7377263,53,1,8322.23
7377264,44,1,7034.5
7377265,67,2,8357.8
7377265,14,1,8800.0
7377265,33,3,16021.47
7377265,10,3,16826.7
7377266,17,1,5825.49
7377266,2,3,11550.0
7377266,60,3,13196.7
7377267,64,1,4140.0
7377267,57,2,5057.7
7377267,33,1,5583.24
7377267,51,3,12675.27
7377267,41,1,4943.85
7377268,7,1,4299.99
7377268,60,2,7998.0
7377268,3,3,16497.0
7377268,28,1,3999.99
7377269,65,1,4400.0
7377269,31,2,8899.8
7377270,55,2,6418.16
7377270,28,3,11999.97
7377270,59,3,13937.97
7377271,33,3,14564.97
7377271,18,2,8400.0
7377271,7,1,4299.99
7377272,37,2,6018.0
7377272,1,1,5899.0
7377272,30,2,8700.0
7377272,14,1,8000.0
7377272,45,1,4745.0
7377273,39,3,15597.0
7377274,13,2,11600.0
7377274,53,2,15131.32
7377275,13,2,11600.0
7377276,54,1,5656.41
7377276,21,3,17397.0
7377276,45,3,14235.0
7377277,54,2,11312.82
7377277,58,3,11217.0
7377277,67,3,11397.0
7377277,20,3,11997.0
7377277,4,1,3808.99
7377278,42,1,5000.0
7377278,53,2,15131.32
7377278,46,3,16127.97
7377278,15,1,7699.99
7377278,9,1,2799.0
7377279,49,1,5380.85
7377279,23,3,15176.55
7377279,9,1,3218.85
7377279,57,3,7586.55
7377279,3,2,12647.7
7377280,24,3,22197.0
7377281,3,3,16497.0
7377281,32,3,13497.0
7377281,64,1,3600.0
7377282,35,3,11997.0
7377282,5,1,3480.99
7377283,54,1,6222.05
7377283,69,3,13196.7
7377284,52,3,7917.0
7377284,8,2,12959.98
7377284,44,2,12790.0
7377284,12,3,16500.0
7377284,47,1,4018.99
7377285,25,1,5226.09
7377285,58,1,4112.9
7377285,11,2,10340.0
7377285,5,1,3829.09
7377286,10,3,15297.0
7377287,61,1,4199.0
7377288,56,3,13514.97
7377288,1,1,5899.0
7377288,17,2,10591.8
7377288,5,1,3480.99
7377288,64,1,3600.0
7377289,24,3,22197.0
7377289,69,1,3999.0
7377289,49,2,9358.0
7377289,44,1,6395.0
7377290,51,3,12124.17
7377290,12,3,18150.0
7377290,25,3,15678.27
7377290,42,3,16500.0
7377291,66,1,3738.9
7377291,25,3,15678.27
7377291,59,3,15331.77
7377292,9,3,9656.55
7377292,52,2,6069.7
7377293,28,3,11999.97
7377293,37,3,9027.0
7377294,1,3,17697.0
7377294,26,2,6128.0
7377294,39,1,5199.0
7377294,35,1,3999.0
7377294,23,3,13197.0
7377295,52,1,2902.9
7377296,2,2,7000.0
7377296,34,1,5899.0
7377296,62,1,6240.99
7377296,14,1,8000.0
7377296,59,2,9291.98
7377297,35,3,11997.0
7377297,69,1,3999.0
7377297,54,1,5656.41
7377298,23,2,8798.0
7377299,28,1,3999.99
7377299,68,2,7998.0
7377299,21,2,11598.0
7377300,2,3,12075.0
7377300,55,1,3690.44
7377301,20,1,4598.85
7377302,68,2,8797.8
7377302,50,3,18512.97
7377302,17,2,11650.98
7377303,61,1,4199.0
7377303,21,3,17397.0
7377303,55,1,3209.08
7377304,29,3,11397.0
7377304,62,1,6240.99
7377304,31,1,4449.9
7377304,53,3,22696.98
7377305,17,2,10591.8
7377305,34,3,17697.0
7377305,67,3,11397.0
7377306,24,3,22197.0
7377307,15,2,15399.98
7377307,56,2,9009.98
7377308,63,2,4070.0
7377308,40,2,9237.8
7377308,9,2,6157.8
7377308,28,2,8799.98
7377308,12,2,12100.0
7377309,50,2,12341.98
7377309,7,3,14189.97
7377309,31,1,4894.89
7377309,45,2,10439.0
7377310,45,2,9490.0
7377310,10,3,15297.0
7377311,6,2,4484.98
7377311,35,1,4598.85
7377312,23,3,14516.7
7377312,16,3,17397.57
7377313,14,1,8000.0
7377313,7,2,8599.98
7377314,5,3,11487.27
7377314,28,3,13199.97
7377314,13,2,12760.0
7377314,26,3,10111.2
7377314,37,2,6619.8
7377315,25,2,9501.98
7377315,6,2,3899.98
7377315,48,3,16127.97
7377316,25,2,9501.98
7377316,23,3,13197.0
7377317,20,2,7998.0
7377318,46,3,17740.77
7377318,54,2,12444.1
7377318,34,2,12977.8
7377318,64,2,7920.0
7377318,1,3,19466.7
7377319,43,3,9597.0
7377319,19,2,8500.0
7377319,30,1,4350.0
7377319,47,2,8037.98
7377319,55,2,6418.16
7377320,42,1,5000.0
7377320,58,1,3739.0
7377320,47,2,8037.98
7377321,64,2,7200.0
7377321,48,2,10751.98
7377321,47,3,12056.97
7377321,29,2,7598.0
7377321,38,3,13197.0
7377322,31,3,13349.7
7377323,56,1,5180.74
7377324,8,2,14255.98
7377324,26,1,3370.4
7377325,56,2,9009.98
7377326,39,3,15597.0
7377327,18,3,12600.0
7377327,43,1,3199.0
7377328,60,2,7998.0
7377328,56,1,4504.99
7377329,26,1,3064.0
7377329,51,1,3673.99
7377329,23,3,13197.0
7377329,44,3,19185.0
7377329,38,1,4399.0
7377330,34,3,17697.0
7377330,47,2,8037.98
7377331,15,1,7699.99
7377331,14,2,16000.0
7377331,22,3,22197.0
7377331,43,1,3199.0
7377332,8,3,21383.97
7377333,36,1,3707.0
7377333,9,2,6157.8
7377333,65,2,9680.0
7377334,50,2,11219.98
7377334,19,1,4250.0
7377335,34,3,17697.0
7377335,37,1,3009.0
7377335,10,2,10198.0
7377335,5,3,10442.97
7377335,11,2,9400.0
7377336,41,1,4728.9
7377337,63,1,1850.0
7377337,8,1,6479.99
7377337,40,3,12597.0
7377337,48,1,5375.99
7377337,24,2,14798.0
7377338,62,3,21531.42
7377339,13,1,6380.0
7377339,16,1,5799.19
7377340,4,1,3808.99
7377341,46,1,5375.99
7377341,36,2,6740.0
7377341,38,2,8798.0
7377341,13,3,17400.0
7377341,61,1,4199.0
7377342,12,1,6050.0
7377342,14,2,17600.0
7377342,31,2,9789.78
7377342,16,3,17397.57
7377343,11,2,9400.0
7377343,16,2,10543.98
7377343,13,1,5800.0
7377343,36,1,3370.0
7377344,6,2,3899.98
7377344,12,1,5500.0
7377344,42,1,5000.0
7377345,25,3,16390.92
7377346,48,3,16127.97
7377346,18,2,8400.0
7377346,62,3,18722.97
7377346,41,3,12897.0
7377346,38,3,13197.0
7377347,29,1,3799.0
7377347,21,1,5799.0
7377348,29,2,8357.8
7377348,9,3,9236.7
7377349,5,1,3480.99
7377349,31,3,13349.7
7377349,22,1,7399.0
7377349,48,2,10751.98
7377350,40,1,4199.0
7377350,37,1,3009.0
7377351,44,3,22062.75
7377352,63,3,5550.0
7377352,40,2,8398.0
7377353,48,3,18547.17
7377353,20,1,4598.85
7377353,56,3,15542.22
7377353,35,3,13796.55
