ord_id,ord_date,ord_tax_loc,order_tot,ord_ship_add,ord_ship_date,ord_track_num,warehouse_id,cus_id
7377022,2024-01-17,18,57908.59,False,2024-01-23,PAC380645-0,3,2615
7377023,2020-01-17,12,8500.0,False,2020-01-22,PAC843193-6,2,1637
7377024,2017-12-30,20,37349.98,True,2018-01-01,PAC639168-0,1,580
7377025,2022-10-12,6,34361.77,False,2022-10-22,PAC901491-2,1,345
7377026,2020-08-06,9,31797.0,False,2020-08-07,PAC863006-9,1,968
7377027,2018-03-31,10,19996.98,False,2018-04-07,PAC780069-3,3,2098
7377028,2020-10-27,17,23418.97,True,2020-11-09,PAC298021-0,1,1976
7377029,2017-05-09,17,43912.99,True,2017-05-19,PAC212994-9,2,815
7377030,2025-01-28,10,4299.85,False,2025-02-06,PAC773808-6,3,1627
7377031,2019-08-23,4,15398.97,False,2019-08-31,PAC701039-5,1,759
7377032,2022-07-23,8,29584.5,True,2022-07-25,PAC834326-8,3,943
7377033,2020-01-27,6,25052.41,True,2020-02-03,PAC130967-4,3,2083
7377034,2020-12-03,5,25744.99,True,2020-12-12,PAC152065-1,1,1694
7377035,2021-02-09,17,6240.99,False,2021-02-14,PAC977125-9,2,961
7377036,2018-11-20,20,15482.66,False,2018-11-21,PAC358560-4,1,100
7377037,2025-09-09,17,4598.85,True,2025-09-12,PAC772721-4,1,706
7377038,2023-09-16,6,13509.09,True,2023-09-29,PAC792465-8,1,1487
7377039,2025-05-20,18,59359.17,True,2025-05-24,PAC208195-1,2,2148
7377040,2024-12-05,13,33271.8,True,2024-12-11,PAC780880-7,2,163
7377041,2021-11-08,10,33296.0,False,2021-11-11,PAC817413-2,3,2430
7377042,2025-03-15,9,31930.73,False,2025-03-17,PAC826041-6,2,616
7377043,2017-11-26,5,45942.0,True,2017-11-28,PAC598368-6,3,1342
7377044,2019-01-01,10,30623.96,True,2019-01-02,PAC118500-9,2,2392
7377045,2017-06-18,11,47827.94,True,2017-06-25,PAC210279-8,3,571
7377046,2020-02-16,9,37264.06,True,2020-02-18,PAC726338-3,2,1828
7377047,2020-05-21,16,11021.97,True,2020-05-29,PAC986635-8,3,2449
7377048,2019-10-09,18,46005.96,True,2019-10-11,PAC894789-6,1,553
7377049,2024-04-02,14,33311.16,False,2024-04-15,PAC444769-1,2,1726
7377050,2020-04-03,16,21237.98,True,2020-04-05,PAC693908-5,1,2416
7377051,2019-11-13,16,21594.0,False,2019-11-14,PAC716227-4,3,1074
7377052,2021-01-18,6,31099.11,True,2021-01-20,PAC492714-0,1,2150
7377053,2018-06-10,10,30743.97,True,2018-06-19,PAC509996-5,1,93
7377054,2023-12-25,13,36914.9,False,2024-01-02,PAC740226-9,3,1840
7377055,2017-10-05,15,38248.97,False,2017-10-15,PAC929944-8,3,347
7377056,2025-11-13,1,7817.7,False,2025-11-15,PAC331764-0,3,1842
7377057,2023-09-05,15,32173.87,False,2023-09-10,PAC809046-5,2,2415
7377058,2019-01-11,10,21343.97,True,2019-01-17,PAC109439-6,2,816
7377059,2017-01-21,7,13397.0,True,2017-01-30,PAC566629-5,1,545
7377060,2024-02-13,10,42543.1,True,2024-02-26,PAC661208-7,1,2130
7377061,2023-01-04,1,8797.8,False,2023-01-15,PAC615604-2,3,287
7377062,2023-03-28,5,5219.5,True,2023-04-04,PAC336684-4,1,15
7377063,2023-09-01,10,38647.52,False,2023-09-07,PAC882145-4,3,1448
7377064,2017-10-03,20,12481.98,True,2017-10-07,PAC626709-4,3,957
7377065,2020-04-06,20,30024.96,False,2020-04-10,PAC433922-0,1,1927
7377066,2018-03-08,8,47788.96,False,2018-03-12,PAC937943-2,2,1362
7377067,2024-08-08,18,31851.55,False,2024-08-13,PAC456253-0,3,1851
7377068,2022-02-27,16,32444.47,True,2022-03-01,PAC136005-7,3,2582
7377069,2020-02-25,6,28435.97,True,2020-03-08,PAC311968-6,1,658
7377070,2017-08-25,18,41242.97,True,2017-08-27,PAC565959-5,1,256
7377071,2020-01-26,13,56718.95,True,2020-02-08,PAC834787-8,2,291
7377072,2020-02-16,7,3064.0,False,2020-02-28,PAC182206-0,1,1917
7377073,2023-03-30,2,43678.8,False,2023-04-07,PAC428839-0,3,2071
7377074,2022-04-21,12,13634.49,True,2022-04-30,PAC581335-6,2,535
7377075,2024-11-06,13,15180.0,False,2024-11-12,PAC711818-1,2,2362
7377076,2020-09-22,6,19149.0,False,2020-09-29,PAC553987-6,2,1687
7377077,2018-03-22,7,26200.99,False,2018-03-25,PAC720537-5,3,92
7377078,2023-01-28,18,45586.15,False,2023-01-29,PAC395957-1,1,1330
7377079,2023-07-24,2,47842.3,False,2023-08-06,PAC749514-0,2,838
7377080,2021-04-27,2,37897.99,False,2021-05-08,PAC705879-3,3,572
7377081,2023-08-31,18,39858.45,True,2023-09-07,PAC496065-7,3,393
7377082,2020-10-25,15,14727.99,False,2020-10-28,PAC892344-1,3,9
7377083,2020-12-07,1,33164.0,False,2020-12-18,PAC256612-6,3,797
7377084,2020-07-18,19,29558.0,True,2020-07-21,PAC464507-1,3,1124
7377085,2017-04-05,9,27943.98,True,2017-04-06,PAC971372-6,1,755
7377086,2018-02-07,18,28255.96,True,2018-02-16,PAC712817-0,3,2526
7377087,2017-04-28,20,42442.0,False,2017-05-05,PAC330623-0,2,1173
7377088,2022-04-17,11,11217.8,False,2022-04-25,PAC198592-0,3,51
7377089,2020-01-31,14,19651.78,True,2020-02-04,PAC597845-3,3,1996
7377090,2020-11-16,7,20395.0,True,2020-11-20,PAC234983-2,1,1854
7377091,2025-01-21,4,19031.34,True,2025-01-31,PAC855200-1,3,1057
7377092,2019-07-18,11,13197.0,False,2019-07-28,PAC841568-6,1,2206
7377093,2020-06-22,19,41344.99,False,2020-06-30,PAC521561-2,1,737
7377094,2023-07-05,19,21830.59,True,2023-07-13,PAC396181-9,2,2170
7377095,2019-05-03,1,3600.0,False,2019-05-04,PAC444141-4,2,679
7377096,2017-10-14,1,8398.0,True,2017-10-24,PAC229799-5,3,591
7377097,2019-12-16,13,42622.7,True,2019-12-17,PAC580836-0,3,2179
7377098,2018-08-24,19,52171.8,True,2018-09-02,PAC386160-1,3,805
7377099,2025-04-14,1,5456.75,True,2025-04-26,PAC640784-8,3,2500
7377100,2024-01-16,6,22712.48,True,2024-01-28,PAC512875-1,2,2169
7377101,2022-04-05,10,46411.2,False,2022-04-16,PAC760417-6,3,1653
7377102,2024-09-08,17,56265.99,True,2024-09-18,PAC581873-6,1,1902
7377103,2023-12-31,7,43539.05,False,2024-01-10,PAC899191-9,1,2212
7377104,2018-11-27,5,25294.9,True,2018-12-02,PAC563028-0,3,2450
7377105,2024-11-26,4,36151.67,False,2024-12-02,PAC923638-7,3,67
7377106,2020-12-31,9,12523.99,False,2021-01-12,PAC179636-1,3,113
7377107,2024-01-14,17,34600.03,False,2024-01-20,PAC975862-8,2,2581
7377108,2024-12-09,11,49328.08,False,2024-12-15,PAC531203-5,1,171
7377109,2020-02-06,1,41845.97,False,2020-02-13,PAC195546-1,2,620
7377110,2018-02-15,9,27183.0,True,2018-02-16,PAC635486-9,1,2218
7377111,2019-04-30,11,8798.0,True,2019-05-10,PAC436189-2,3,1408
7377112,2020-07-17,3,45033.96,False,2020-07-30,PAC946967-3,1,1180
7377113,2024-02-22,20,43163.87,False,2024-02-23,PAC590975-5,3,1684
7377114,2024-07-31,16,39335.72,True,2024-08-02,PAC527831-8,2,118
7377115,2017-01-26,19,35792.0,True,2017-01-29,PAC734525-0,3,1059
7377116,2020-11-19,11,53207.98,True,2020-11-22,PAC394742-5,1,1407
7377117,2020-07-03,18,34386.8,True,2020-07-15,PAC326351-8,3,2374
7377118,2019-04-08,4,9400.0,False,2019-04-13,PAC234170-5,1,976
7377119,2018-03-23,8,27946.99,True,2018-03-28,PAC574401-9,3,1176
7377120,2020-03-06,10,44686.96,True,2020-03-17,PAC369586-5,1,2305
7377121,2025-06-02,13,24781.9,False,2025-06-04,PAC943857-4,2,2541
7377122,2020-02-13,11,14798.0,True,2020-02-22,PAC331021-4,3,697
7377123,2020-12-01,11,50379.94,True,2020-12-07,PAC710155-9,1,1991
7377124,2022-12-21,14,29642.79,False,2022-12-28,PAC453301-6,3,2576
7377125,2020-04-14,19,35224.97,False,2020-04-27,PAC813620-5,2,157
7377126,2025-09-17,19,58301.52,False,2025-09-28,PAC438267-7,1,1967
7377127,2025-08-14,20,4598.85,True,2025-08-19,PAC761808-1,3,769
7377128,2019-07-28,5,42213.95,False,2019-08-08,PAC169407-5,2,851
7377129,2020-10-30,14,15399.98,True,2020-11-06,PAC734090-5,2,241
7377130,2020-01-11,6,62942.0,True,2020-01-21,PAC872248-9,3,461
7377131,2019-11-28,20,12899.97,True,2019-12-01,PAC436071-9,1,596
7377132,2017-05-18,4,26199.0,False,2017-05-19,PAC842543-1,3,1120
7377133,2022-01-07,18,39172.09,False,2022-01-18,PAC758182-7,2,962
7377134,2020-11-07,2,23696.0,False,2020-11-17,PAC200523-3,2,436
7377135,2017-07-11,20,21589.8,True,2017-07-18,PAC110668-4,1,2554
7377136,2019-11-05,3,37326.0,True,2019-11-17,PAC786672-5,2,1041
7377137,2025-01-24,19,34324.05,True,2025-01-25,PAC928679-6,3,757
7377138,2019-06-12,18,13789.0,True,2019-06-16,PAC994156-2,2,2533
7377139,2018-06-24,14,30685.98,False,2018-06-30,PAC162735-3,2,1627
7377140,2020-10-18,2,10398.0,False,2020-10-30,PAC709478-3,3,1718
7377141,2025-11-08,16,54347.82,True,2025-11-16,PAC780635-2,3,1274
7377142,2019-06-22,12,25600.96,True,2019-06-26,PAC473602-6,3,1973
7377143,2022-08-28,5,33838.9,True,2022-09-07,PAC867457-0,1,426
7377144,2023-07-27,10,33634.68,True,2023-08-03,PAC466124-4,2,186
7377145,2019-06-05,14,20012.82,True,2019-06-07,PAC769737-6,2,209
7377146,2023-03-25,7,24416.7,True,2023-03-28,PAC989255-3,3,2514
7377147,2020-04-20,9,16500.0,True,2020-04-27,PAC777084-8,2,2001
7377148,2022-04-01,14,25399.0,True,2022-04-10,PAC218193-3,1,2568
7377149,2022-04-06,3,13196.7,True,2022-04-14,PAC507790-3,1,1533
7377150,2020-12-26,9,33145.97,False,2021-01-04,PAC526021-8,2,832
7377151,2017-12-03,17,73193.98,False,2017-12-11,PAC422899-8,1,2146
7377152,2024-04-27,16,44036.27,False,2024-05-09,PAC179337-5,2,884
7377153,2020-02-10,1,45939.96,False,2020-02-19,PAC335293-0,3,315
7377154,2018-11-27,5,11600.0,False,2018-11-29,PAC366121-7,2,2604
7377155,2017-06-01,2,47065.96,False,2017-06-06,PAC933806-8,2,1950
7377156,2021-10-02,5,24594.08,True,2021-10-08,PAC987242-1,3,2180
7377157,2022-09-17,4,6740.8,True,2022-09-25,PAC309701-2,1,2188
7377158,2017-03-03,6,32199.99,False,2017-03-14,PAC430348-0,2,972
7377159,2020-11-21,5,17407.9,True,2020-11-25,PAC399711-6,3,377
7377160,2019-04-25,14,32785.2,False,2019-05-03,PAC629974-0,3,1457
7377161,2022-05-19,9,22038.5,True,2022-05-28,PAC166935-9,3,1050
7377162,2018-10-12,2,42174.0,False,2018-10-23,PAC346288-2,2,1091
7377163,2022-11-06,18,8800.0,True,2022-11-13,PAC563458-6,3,2193
7377164,2020-05-18,9,7598.0,False,2020-05-27,PAC161535-7,2,2374
7377165,2025-05-10,4,38934.35,False,2025-05-12,PAC108270-7,2,1131
7377166,2018-05-28,1,35895.0,True,2018-05-29,PAC703344-1,1,1360
7377167,2020-03-11,15,8400.0,False,2020-03-22,PAC962454-9,1,1437
7377168,2018-02-27,4,36628.94,False,2018-03-04,PAC900558-0,3,1375
7377169,2025-03-26,9,21200.25,False,2025-04-01,PAC317875-5,2,1296
7377170,2024-09-30,7,31097.1,False,2024-10-13,PAC633335-4,1,2137
7377171,2019-08-20,15,40447.98,False,2019-08-30,PAC977983-9,3,510
7377172,2022-07-13,5,44074.76,True,2022-07-14,PAC891747-0,1,981
7377173,2024-02-19,11,54382.07,False,2024-02-29,PAC827722-1,2,140
7377174,2021-03-26,1,54342.0,False,2021-04-05,PAC275128-4,1,2568
7377175,2020-12-17,9,13497.0,False,2020-12-29,PAC190603-3,3,1541
7377176,2019-06-21,1,14243.98,False,2019-06-24,PAC390272-2,1,481
7377177,2017-12-13,7,24172.97,False,2017-12-16,PAC918803-6,2,1708
7377178,2024-12-13,3,30223.11,True,2024-12-20,PAC885422-5,2,1844
7377179,2024-12-25,4,29474.45,False,2025-01-01,PAC147713-7,3,956
7377180,2022-04-04,5,26359.25,True,2022-04-09,PAC995071-4,2,2152
7377181,2020-03-08,11,65186.97,False,2020-03-13,PAC167868-5,3,384
7377182,2020-03-23,17,29471.97,True,2020-04-03,PAC913124-9,2,1311
7377183,2023-03-16,4,42865.88,False,2023-03-22,PAC468094-5,1,926
7377184,2024-12-13,5,6062.79,True,2024-12-20,PAC809306-1,3,1448
7377185,2024-11-06,18,9197.7,False,2024-11-12,PAC267414-0,2,759
7377186,2023-10-03,7,17740.77,True,2023-10-11,PAC525380-0,3,1475
7377187,2022-05-08,7,24878.68,True,2022-05-21,PAC465730-6,3,1633
7377188,2017-11-10,3,7399.0,True,2017-11-20,PAC792771-0,3,1014
7377189,2018-08-26,11,20684.99,False,2018-09-06,PAC602366-2,3,861
7377190,2024-12-18,17,33575.17,True,2024-12-19,PAC709900-2,1,811
7377191,2021-12-23,17,15901.08,False,2022-01-05,PAC978880-2,3,446
7377192,2017-02-04,14,17798.0,False,2017-02-13,PAC321480-4,1,1017
7377193,2018-01-14,17,57758.95,True,2018-01-25,PAC787103-0,3,289
7377194,2022-07-27,9,14255.98,False,2022-08-06,PAC723168-8,2,2150
7377195,2017-01-19,9,33165.23,True,2017-01-22,PAC229781-8,1,1989
7377196,2018-08-23,16,46036.22,False,2018-09-05,PAC172679-4,2,2366
7377197,2021-02-19,11,34043.0,True,2021-02-21,PAC935619-1,3,304
7377198,2022-11-09,14,44794.17,True,2022-11-22,PAC868687-3,3,1814
7377199,2022-06-14,8,28330.73,True,2022-06-20,PAC175732-3,3,583
7377200,2019-04-16,13,35831.97,False,2019-04-28,PAC256722-5,3,2015
7377201,2023-01-24,3,33601.7,False,2023-01-28,PAC125515-5,3,709
7377202,2019-06-04,9,14697.99,False,2019-06-07,PAC329915-4,1,151
7377203,2020-02-17,2,32796.0,False,2020-02-27,PAC904217-7,1,1021
7377204,2023-06-01,13,45684.07,True,2023-06-07,PAC738271-9,1,1998
7377205,2022-06-05,7,9985.8,True,2022-06-16,PAC690228-1,3,1868
7377206,2024-06-18,1,56504.07,False,2024-06-20,PAC730386-0,2,675
7377207,2022-07-05,14,34145.09,True,2022-07-13,PAC742115-4,3,72
7377208,2021-06-04,13,12421.99,True,2021-06-13,PAC987696-6,2,647
7377209,2017-12-16,9,19439.97,True,2017-12-23,PAC993567-9,2,1099
7377210,2020-04-20,1,34259.98,True,2020-04-22,PAC275262-1,2,1266
7377211,2019-09-16,3,36931.65,True,2019-09-18,PAC767049-9,2,2475
7377212,2019-06-29,16,28950.98,False,2019-07-04,PAC263905-9,3,1440
7377213,2025-09-22,18,13052.47,True,2025-10-02,PAC719846-4,1,985
7377214,2020-05-27,10,39168.0,True,2020-06-06,PAC375130-4,2,1892
7377215,2024-11-24,18,18211.4,False,2024-11-29,PAC631479-6,3,2009
7377216,2022-03-28,16,51889.46,False,2022-04-02,PAC542270-5,1,948
7377217,2023-11-28,12,26944.5,False,2023-12-09,PAC549720-6,2,984
7377218,2020-11-07,11,47873.98,True,2020-11-19,PAC355548-6,1,1910
7377219,2021-07-19,12,51581.29,False,2021-07-26,PAC291045-5,3,1091
7377220,2020-10-23,11,4199.0,True,2020-11-01,PAC343001-8,1,165
7377221,2018-12-29,15,44753.96,False,2019-01-11,PAC187175-6,1,2056
7377222,2023-03-03,7,17740.77,False,2023-03-11,PAC496406-6,1,1462
7377223,2019-11-13,5,29507.0,False,2019-11-15,PAC372850-2,2,113
7377224,2017-04-01,6,18951.98,False,2017-04-13,PAC922114-0,2,619
7377225,2022-05-20,4,28173.19,False,2022-06-02,PAC802239-9,3,733
7377226,2018-10-23,6,20054.97,True,2018-11-01,PAC585181-0,3,849
7377227,2025-05-24,16,36101.72,False,2025-06-02,PAC389204-4,3,1234
7377228,2025-07-13,14,14093.23,False,2025-07-18,PAC463501-2,2,80
7377229,2025-02-17,2,9104.55,False,2025-02-25,PAC519793-3,1,1621
7377230,2020-04-23,7,53438.0,True,2020-05-04,PAC303659-3,2,1318
7377231,2017-02-27,3,28811.97,False,2017-03-01,PAC628999-6,2,1418
7377232,2025-04-08,13,36135.23,False,2025-04-16,PAC555856-5,1,2149
7377233,2020-07-19,3,32403.96,True,2020-07-21,PAC350471-9,2,2231
7377234,2025-08-29,15,20480.34,False,2025-09-05,PAC620713-8,1,1702
7377235,2025-08-18,3,39727.9,True,2025-08-24,PAC626472-7,3,2137
7377236,2024-07-02,15,8508.85,True,2024-07-14,PAC390783-2,1,1985
7377237,2020-01-01,14,14542.98,False,2020-01-13,PAC721521-7,2,694
7377238,2020-05-16,3,14252.97,True,2020-05-23,PAC930849-6,2,1970
7377239,2024-06-25,1,57616.15,True,2024-06-28,PAC401799-3,3,1311
7377240,2020-02-04,8,37359.0,True,2020-02-10,PAC240778-4,1,2180
7377241,2018-09-24,9,28198.0,False,2018-10-07,PAC857816-4,2,1806
7377242,2021-04-03,17,19296.99,False,2021-04-10,PAC160227-7,3,1001
7377243,2025-05-08,20,37533.7,False,2025-05-20,PAC368068-4,1,171
7377244,2022-11-25,8,32332.3,False,2022-12-01,PAC439705-0,2,1567
7377245,2021-06-13,16,12481.98,True,2021-06-14,PAC696034-0,1,950
7377246,2017-12-29,6,56342.97,True,2018-01-10,PAC885489-3,1,499
7377247,2022-01-27,6,5913.59,True,2022-02-03,PAC143417-5,2,63
7377248,2025-11-24,5,58288.87,True,2025-11-29,PAC516903-6,2,54
7377249,2018-06-07,14,40497.0,True,2018-06-17,PAC931062-3,1,2061
7377250,2020-11-30,14,43622.24,True,2020-12-08,PAC816833-8,1,862
7377251,2024-10-01,11,51954.67,True,2024-10-06,PAC559775-8,2,1068
7377252,2023-05-10,13,39274.07,False,2023-05-15,PAC189210-4,2,1538
7377253,2022-11-28,15,44335.5,False,2022-12-01,PAC845222-7,1,972
7377254,2022-12-19,20,9519.39,False,2022-12-26,PAC366986-6,3,923
7377255,2020-04-07,16,5099.0,True,2020-04-15,PAC663875-0,3,307
7377256,2019-12-31,12,10751.98,True,2020-01-05,PAC305241-2,1,758
7377257,2024-01-21,15,22475.6,True,2024-01-30,PAC243375-8,1,2535
7377258,2024-01-24,17,44753.39,True,2024-02-02,PAC807167-5,3,601
7377259,2024-08-23,9,5463.64,True,2024-08-30,PAC756368-3,3,201
7377260,2025-02-11,10,27943.84,True,2025-02-13,PAC122558-0,3,2402
7377261,2020-11-20,15,14235.0,False,2020-11-23,PAC493863-6,2,1696
7377262,2020-11-05,11,21497.0,False,2020-11-14,PAC710775-0,2,416
7377263,2023-12-11,10,21059.12,True,2023-12-20,PAC516358-0,3,1102
7377264,2022-06-06,15,7034.5,False,2022-06-08,PAC988444-7,3,146
7377265,2022-12-17,20,50005.97,True,2022-12-24,PAC140626-8,3,299
7377266,2023-12-02,8,30572.19,False,2023-12-08,PAC128033-9,2,929
7377267,2024-11-17,12,32400.06,True,2024-11-26,PAC194759-9,1,1567
7377268,2020-03-06,11,32794.98,True,2020-03-17,PAC833126-2,2,2385
7377269,2020-05-01,6,13299.8,True,2020-05-03,PAC129624-4,1,1622
7377270,2017-12-17,4,32356.1,True,2017-12-26,PAC405053-4,3,2093
7377271,2021-07-27,11,27264.96,False,2021-08-07,PAC441748-1,3,1200
7377272,2017-05-14,18,33362.0,False,2017-05-26,PAC891062-6,3,161
7377273,2020-09-13,14,15597.0,False,2020-09-14,PAC157672-2,2,1725
7377274,2021-01-18,5,26731.32,False,2021-01-23,PAC143331-3,3,543
7377275,2019-12-04,10,11600.0,False,2019-12-08,PAC369682-7,3,850
7377276,2021-10-01,18,37288.41,True,2021-10-14,PAC492954-6,3,496
7377277,2017-04-24,4,49732.81,True,2017-04-26,PAC253657-4,1,2453
7377278,2017-05-20,16,46758.28,True,2017-05-27,PAC597473-1,2,1745
7377279,2024-03-10,20,44010.5,False,2024-03-15,PAC141356-4,1,2065
7377280,2020-04-08,8,22197.0,True,2020-04-12,PAC324782-0,2,340
7377281,2018-04-19,8,33594.0,False,2018-04-20,PAC719168-0,1,427
7377282,2020-12-06,1,15477.99,True,2020-12-16,PAC502024-8,2,1817
7377283,2023-08-27,13,19418.75,False,2023-08-29,PAC492887-2,3,153
7377284,2019-03-16,9,54185.97,True,2019-03-22,PAC359053-8,2,438
7377285,2022-02-25,13,23508.08,True,2022-03-01,PAC721824-3,3,2395
7377286,2017-11-15,18,15297.0,False,2017-11-25,PAC794371-2,3,2031
7377287,2017-07-12,19,4199.0,True,2017-07-15,PAC390138-5,1,2416
7377288,2020-12-20,6,37086.76,True,2020-12-24,PAC921726-8,3,1065
7377289,2021-01-07,3,41949.0,True,2021-01-08,PAC868472-3,1,642
7377290,2022-04-20,14,62452.44,True,2022-04-22,PAC708596-5,3,1509
7377291,2023-03-17,20,34748.94,False,2023-03-20,PAC365286-1,1,1762
7377292,2025-10-03,5,15726.25,False,2025-10-12,PAC420235-9,1,1639
7377293,2020-11-27,17,21026.97,True,2020-12-10,PAC455159-9,3,31
7377294,2020-02-13,10,46220.0,False,2020-02-22,PAC962894-4,1,2107
7377295,2023-11-29,20,2902.9,False,2023-12-02,PAC614897-5,1,1119
7377296,2019-10-07,7,36431.97,True,2019-10-20,PAC114396-6,3,442
7377297,2020-08-04,3,21652.41,True,2020-08-10,PAC966637-5,3,570
7377298,2017-10-20,9,8798.0,False,2017-10-31,PAC460209-6,1,1618
7377299,2017-04-05,16,23595.99,True,2017-04-11,PAC120054-3,1,1430
7377300,2025-08-14,11,15765.44,False,2025-08-22,PAC605663-3,1,2128
7377301,2024-04-29,18,4598.85,True,2024-05-07,PAC810141-1,3,121
7377302,2022-11-25,16,38961.75,True,2022-11-27,PAC324786-4,3,2534
7377303,2020-06-20,8,24805.08,False,2020-06-30,PAC118482-5,3,1873
7377304,2018-10-08,16,44784.87,False,2018-10-20,PAC470181-2,3,230
7377305,2018-08-06,16,39685.8,True,2018-08-12,PAC676676-0,3,625
7377306,2019-07-22,8,22197.0,True,2019-07-30,PAC166765-3,2,2007
7377307,2021-02-22,9,24409.96,False,2021-03-05,PAC638305-8,3,1673
7377308,2023-02-02,16,40365.58,False,2023-02-04,PAC919967-8,3,848
7377309,2022-07-14,4,41865.84,True,2022-07-27,PAC692921-4,3,2351
7377310,2019-11-10,20,24787.0,False,2019-11-23,PAC314440-4,2,948
7377311,2025-07-16,3,9083.83,True,2025-07-21,PAC232012-5,2,619
7377312,2023-04-30,2,31914.27,False,2023-05-07,PAC797036-5,2,767
7377313,2021-03-21,15,16599.98,False,2021-03-27,PAC460793-3,2,2098
7377314,2022-01-15,3,54178.24,False,2022-01-27,PAC515533-1,2,79
7377315,2020-07-06,10,29529.93,False,2020-07-19,PAC329639-6,2,537
7377316,2019-07-13,6,22698.98,True,2019-07-23,PAC608589-0,2,431
7377317,2020-04-02,5,7998.0,True,2020-04-10,PAC648374-7,2,396
7377318,2023-07-13,18,70549.37,True,2023-07-18,PAC459239-1,1,2258
7377319,2017-02-23,1,36903.14,False,2017-02-28,PAC787190-7,3,409
7377320,2018-03-09,15,16776.98,True,2018-03-12,PAC494021-9,2,1780
7377321,2017-06-21,4,50803.95,False,2017-06-30,PAC681759-9,1,2137
7377322,2017-06-01,6,13349.7,True,2017-06-10,PAC506999-1,1,2599
7377323,2024-07-11,7,5180.74,False,2024-07-23,PAC670308-9,1,309
7377324,2022-12-23,10,17626.38,False,2022-12-28,PAC480144-0,2,1384
7377325,2020-09-25,17,9009.98,False,2020-09-30,PAC249587-8,2,2107
7377326,2017-12-31,18,15597.0,False,2018-01-04,PAC227818-2,3,508
7377327,2020-10-21,15,15799.0,False,2020-10-25,PAC624438-4,2,935
7377328,2020-09-24,4,12502.99,True,2020-09-29,PAC274008-0,1,2069
7377329,2018-10-08,7,43518.99,True,2018-10-20,PAC556859-7,2,649
7377330,2020-07-27,5,25734.98,False,2020-07-29,PAC514983-7,3,2014
7377331,2020-06-05,16,49095.99,True,2020-06-08,PAC489056-5,1,1501
7377332,2022-01-30,9,21383.97,True,2022-01-31,PAC320531-2,3,530
7377333,2022-04-12,15,19544.8,True,2022-04-22,PAC830775-1,3,223
7377334,2017-06-18,17,15469.98,False,2017-06-21,PAC854421-4,1,1294
7377335,2020-04-30,13,50746.97,False,2020-05-12,PAC737602-5,2,207
7377336,2022-03-08,16,4728.9,False,2022-03-11,PAC739515-1,1,1860
