id,loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,loan_status
1048390,18000, 60 months,19.91,475.99,E,10+ years,MORTGAGE,65000,Not Verified,Fully Paid
1068994,35000, 60 months,17.27,551.84,D,3 years,MORTGAGE,150000,Verified,Fully Paid
1068475,10000, 36 months,14.27,343.09,C,2 years,RENT,68000,Source Verified,Fully Paid
1068989,11800, 36 months,12.69,395.83,B,6 years,RENT,42000,Source Verified,Fully Paid
1068967,4500, 36 months,6.03,136.96,A,4 years,RENT,53000,Source Verified,Fully Paid
1068744,7000, 36 months,12.69,234.82,B,10+ years,RENT,35000,Source Verified,Fully Paid
1045509,9200, 36 months,12.42,307.43,B,2 years,RENT,60000,Source Verified,Fully Paid
1063958,14000, 60 months,17.27,349.98,D,4 years,RENT,28000,Verified,Current
1041756,4500, 60 months,10.65,97.06,B,< 1 year,MORTGAGE,42000,Source Verified,Fully Paid
1068694,12000, 36 months,16.29,423.61,D,9 years,RENT,88365,Verified,Fully Paid
1068792,12000, 36 months,13.49,407.17,C,4 years,RENT,72000,Source Verified,Fully Paid
1068558,12000, 36 months,10.65,390.88,B,< 1 year,RENT,62000,Verified,Fully Paid
1068322,7000, 36 months,10.65,228.02,B,3 years,MORTGAGE,43680,Not Verified,Fully Paid
1065674,8200, 60 months,19.42,214.62,E,3 years,RENT,120000,Source Verified,Fully Paid
1068547,10500, 36 months,12.69,352.23,B,10+ years,RENT,66000,Verified,Fully Paid
1068545,7000, 36 months,11.71,231.54,B,4 years,OWN,39120,Not Verified,Fully Paid
1068575,15300, 60 months,22.06,423.1,F,6 years,RENT,85000,Verified,Current
1049528,20000, 60 months,11.71,282.86,B,4 years,MORTGAGE,47800,Verified,Fully Paid
1068542,17500, 60 months,17.27,437.47,D,7 years,MORTGAGE,45000,Not Verified,Charged Off
1068350,3500, 36 months,6.03,106.53,A,10+ years,MORTGAGE,83000,Verified,Fully Paid
1067874,6000, 60 months,12.69,135.57,B,< 1 year,RENT,81000,Source Verified,Current
1068509,6200, 36 months,9.91,199.8,B,2 years,RENT,25000,Not Verified,Charged Off
1034693,16000, 60 months,17.58,402.65,D,7 years,RENT,65000,Not Verified,Current
1068508,6000, 36 months,8.9,190.52,A,8 years,OWN,28800,Not Verified,Fully Paid
1066641,7200, 36 months,9.91,232.02,B,6 years,RENT,135000,Not Verified,Fully Paid
1068315,9500, 36 months,8.9,301.66,A,7 years,MORTGAGE,50000,Not Verified,Fully Paid
1068309,18825, 60 months,16.77,465.53,D,10+ years,RENT,38000,Verified,Charged Off
1068326,24000, 36 months,10.65,781.76,B,10+ years,RENT,45000,Verified,Fully Paid
1066767,6000, 36 months,13.49,203.59,C,10+ years,RENT,80000,Not Verified,Fully Paid
1068484,6000, 36 months,13.49,203.59,C,5 years,RENT,50000,Not Verified,Fully Paid
1068292,2100, 36 months,12.42,70.18,B,10+ years,MORTGAGE,30000,Not Verified,Fully Paid
1068273,5500, 36 months,6.62,168.88,A,8 years,MORTGAGE,110000,Verified,Fully Paid
1068274,11000, 36 months,6.62,337.75,A,8 years,OWN,45608,Source Verified,Fully Paid
1068440,26800, 60 months,20.89,723.38,F,3 years,MORTGAGE,120000,Verified,Fully Paid
1046456,8000, 36 months,12.69,268.36,B,5 years,MORTGAGE,35000,Not Verified,Fully Paid
1068012,10000, 36 months,18.25,362.78,D,1 year,RENT,75000,Source Verified,Charged Off
1055725,8000, 36 months,11.71,264.61,B,9 years,MORTGAGE,35000,Verified,Fully Paid
1061814,10000, 36 months,8.9,317.54,A,6 years,RENT,24000,Verified,Fully Paid
1068232,12000, 36 months,11.71,396.92,B,2 years,MORTGAGE,126000,Not Verified,Fully Paid
1068405,10000, 36 months,7.9,312.91,A,1 year,RENT,43000,Not Verified,Fully Paid
1068395,12000, 36 months,9.91,386.7,B,1 year,RENT,50000,Not Verified,Fully Paid
1068202,25000, 60 months,13.49,575.12,C,10+ years,MORTGAGE,67000,Verified,Charged Off
1068006,19750, 36 months,10.65,643.33,B,4 years,RENT,45000,Verified,Charged Off
1068075,10000, 36 months,9.91,322.25,B,3 years,RENT,31200,Source Verified,Fully Paid
1065642,13650, 36 months,12.42,456.12,B,4 years,RENT,66000,Verified,Fully Paid
1068179,28000, 60 months,19.91,312.04,E,10+ years,RENT,52000,Verified,Charged Off
1068158,18000, 36 months,7.9,563.23,A,10+ years,RENT,56964,Source Verified,Fully Paid
1068180,2500, 36 months,14.27,85.78,C,7 years,RENT,49500,Source Verified,Fully Paid
1065673,21000, 60 months,20.3,559.89,E,10+ years,RENT,70000,Verified,Fully Paid
1068159,35000, 36 months,8.9,1111.37,A,6 years,MORTGAGE,125000,Verified,Fully Paid
1068165,10000, 36 months,7.51,311.11,A,3 years,RENT,33000,Not Verified,Fully Paid
1059689,7000, 36 months,12.69,234.82,B,< 1 year,RENT,30000,Source Verified,Fully Paid
1066215,24000, 36 months,15.96,843.3,C,8 years,MORTGAGE,90000,Source Verified,Charged Off
1063270,10625, 36 months,7.51,330.56,A,5 years,MORTGAGE,23000,Not Verified,Fully Paid
1067931,5000, 36 months,14.65,172.48,C,2 years,RENT,24000,Source Verified,Fully Paid
1067922,8850, 36 months,6.62,271.73,A,10+ years,RENT,62000,Source Verified,Fully Paid
1067919,6375, 36 months,7.51,198.34,A,4 years,RENT,44000,Source Verified,Fully Paid
1068106,6000, 36 months,11.71,198.46,B,1 year,RENT,90000,Not Verified,Fully Paid
1068111,11100, 36 months,6.62,340.82,A,10+ years,RENT,41000,Verified,Charged Off
1067655,10000, 60 months,12.69,225.95,B,2 years,MORTGAGE,56000,Source Verified,Fully Paid
1060662,6200, 36 months,6.03,188.71,A,5 years,MORTGAGE,26500,Not Verified,Fully Paid
1061304,15000, 36 months,18.64,547.12,E,1 year,RENT,54000,Not Verified,Fully Paid
1068095,4200, 36 months,11.71,138.92,B,2 years,RENT,53000,Not Verified,Fully Paid
1067182,14000, 36 months,14.27,480.33,C,4 years,RENT,52800,Not Verified,Fully Paid
822464,8875, 36 months,7.51,276.11,A,1 year,MORTGAGE,38000,Not Verified,Fully Paid
1063526,13500, 36 months,9.91,435.04,B,7 years,RENT,38000,Verified,Fully Paid
1068091,12000, 36 months,9.91,386.7,B,2 years,RENT,42000,Not Verified,Charged Off
1068090,16000, 60 months,19.91,423.11,E,4 years,RENT,55000,Verified,Fully Paid
1068082,21600, 60 months,19.42,565.32,E,8 years,MORTGAGE,60000,Source Verified,Fully Paid
1068078,6000, 36 months,10.65,195.44,B,6 years,MORTGAGE,87000,Not Verified,Fully Paid
1057633,8450, 60 months,16.77,208.97,D,5 years,OWN,25000,Verified,Fully Paid
1046204,20000, 60 months,13.49,460.1,C,1 year,RENT,82000,Not Verified,Fully Paid
1067794,10000, 36 months,11.71,330.76,B,8 years,RENT,60000,Not Verified,Charged Off
1067816,12000, 36 months,16.29,423.61,D,5 years,MORTGAGE,80000,Verified,Fully Paid
1068018,13475, 60 months,13.49,309.99,C,10+ years,RENT,25000,Verified,Charged Off
1052996,7200, 36 months,12.42,240.59,B,5 years,RENT,48000,Not Verified,Fully Paid
1067818,5600, 36 months,14.65,193.17,C,1 year,MORTGAGE,85000,Not Verified,Charged Off
1064842,12000, 36 months,14.27,411.71,C,< 1 year,RENT,57000,Verified,Fully Paid
1067109,8500, 36 months,6.03,258.71,A,2 years,RENT,25000,Not Verified,Fully Paid
1067971,8000, 36 months,9.91,257.8,B,2 years,RENT,34000,Source Verified,Fully Paid
1057518,8000, 36 months,12.42,267.33,B,10+ years,RENT,40000,Not Verified,Fully Paid
1067473,16000, 60 months,15.27,382.92,C,10+ years,RENT,42656.4,Source Verified,Fully Paid
1062177,15000, 36 months,17.27,536.81,D,2 years,MORTGAGE,44400,Source Verified,Fully Paid
1067447,10000, 36 months,9.91,322.25,B,2 years,OWN,30000,Not Verified,Fully Paid
1059412,10000, 36 months,6.62,307.04,A,5 years,MORTGAGE,70000,Not Verified,Fully Paid
1062608,8000, 36 months,14.65,275.96,C,3 years,RENT,28000,Not Verified,Fully Paid
1067664,22000, 36 months,9.91,708.95,B,2 years,MORTGAGE,50000,Verified,Fully Paid
1067441,6000, 36 months,14.27,205.86,C,10+ years,MORTGAGE,94800,Verified,Fully Paid
1067654,16000, 60 months,9.91,339.25,B,10+ years,OWN,40000,Verified,Current
1067644,2500, 36 months,7.51,77.78,A,n/a,OWN,12000,Source Verified,Charged Off
1062288,13500, 36 months,9.91,435.04,B,2 years,MORTGAGE,36000,Source Verified,Fully Paid
1067434,25000, 36 months,12.42,835.39,B,2 years,RENT,225000,Verified,Fully Paid
1067419,10000, 36 months,13.49,339.31,C,2 years,RENT,45900,Verified,Fully Paid
1067601,2500, 36 months,13.49,84.83,C,4 years,RENT,27200,Not Verified,Fully Paid
1067579,7325, 36 months,12.69,245.72,B,1 year,RENT,42000,Not Verified,Fully Paid
1067563,4000, 36 months,12.42,133.67,B,5 years,RENT,135000,Verified,Fully Paid
1067364,10000, 36 months,13.49,339.31,C,5 years,RENT,65000,Not Verified,Charged Off
1067152,7750, 36 months,17.27,277.36,D,< 1 year,RENT,24000,Not Verified,Charged Off
1062471,20000, 60 months,20.89,539.84,F,6 years,RENT,70000,Source Verified,Charged Off
1066842,9600, 36 months,12.42,320.79,B,10+ years,RENT,65000,Verified,Fully Paid
1067126,21000, 60 months,11.71,464.07,B,3 years,RENT,60000,Not Verified,Charged Off
1067326,14000, 36 months,10.65,456.03,B,3 years,RENT,30000,Source Verified,Fully Paid
1066789,13350, 36 months,12.42,446.1,B,10+ years,RENT,43000,Not Verified,Fully Paid
1067324,15000, 36 months,16.77,533.08,D,10+ years,RENT,42000,Verified,Charged Off
1067102,15000, 36 months,17.27,536.81,D,8 years,RENT,75000,Source Verified,Charged Off
1046969,11000, 60 months,13.49,253.06,C,10+ years,MORTGAGE,129000,Verified,Current
1067084,35000, 36 months,10.65,1140.07,B,2 years,MORTGAGE,168000,Verified,Fully Paid
1067090,9000, 36 months,10.65,293.16,B,9 years,MORTGAGE,74000,Source Verified,Fully Paid
1060875,22475, 60 months,15.27,537.87,C,7 years,MORTGAGE,52000,Verified,Current
1067265,16000, 36 months,12.69,536.72,B,1 year,RENT,58500,Source Verified,Charged Off
1067287,13500, 36 months,12.69,452.86,B,5 years,RENT,71000,Source Verified,Fully Paid
1067066,24000, 36 months,12.69,805.08,B,10+ years,RENT,75000,Verified,Fully Paid
1067283,12000, 36 months,10.65,390.88,B,5 years,RENT,60000,Not Verified,Fully Paid
1067266,8400, 60 months,16.77,207.73,D,5 years,RENT,87996,Not Verified,Current
1066635,28000, 60 months,17.58,704.64,D,5 years,MORTGAGE,140000,Verified,Fully Paid
1067026,14000, 36 months,6.62,429.86,A,10+ years,RENT,66000,Source Verified,Fully Paid
1067038,12000, 36 months,14.27,411.71,C,8 years,MORTGAGE,70000,Not Verified,Charged Off
1067030,25000, 36 months,11.71,826.9,B,10+ years,MORTGAGE,100000,Verified,Fully Paid
1065350,9000, 36 months,12.69,301.91,B,5 years,RENT,50000,Source Verified,Fully Paid
1067028,13250, 36 months,10.65,431.6,B,4 years,RENT,35000,Not Verified,Fully Paid
1061877,20000, 36 months,13.49,678.61,C,6 years,RENT,75000,Verified,Fully Paid
1067018,3000, 36 months,14.65,103.49,C,5 years,RENT,71000,Verified,Fully Paid
1067223,7350, 36 months,10.65,239.42,B,10+ years,MORTGAGE,48000,Not Verified,Fully Paid
1067004,11500, 36 months,15.27,400.18,C,5 years,RENT,36000,Not Verified,Fully Paid
1031265,13650, 36 months,12.42,456.12,B,10+ years,MORTGAGE,86000,Not Verified,Charged Off
1066835,10500, 36 months,16.29,370.66,D,3 years,RENT,30000,Source Verified,Charged Off
1067181,12000, 36 months,9.91,386.7,B,2 years,RENT,60000,Not Verified,Fully Paid
1067179,6000, 36 months,8.9,190.52,A,3 years,RENT,34000,Not Verified,Fully Paid
1067172,11500, 36 months,15.27,400.18,C,10+ years,MORTGAGE,44200,Verified,Fully Paid
1066712,7000, 36 months,12.42,233.91,B,7 years,MORTGAGE,82000,Not Verified,Fully Paid
1066706,29500, 60 months,20.3,786.51,E,6 years,MORTGAGE,83000,Source Verified,Fully Paid
1066836,2000, 36 months,15.27,69.6,C,2 years,RENT,41000,Verified,Fully Paid
1066826,11625, 36 months,13.49,394.45,C,< 1 year,MORTGAGE,36000,Source Verified,Fully Paid
1063280,15075, 36 months,14.27,517.21,C,10+ years,RENT,35000,Verified,Charged Off
1057447,5300, 36 months,15.27,184.43,C,1 year,RENT,30000,Verified,Fully Paid
1040867,8200, 36 months,6.62,251.77,A,< 1 year,RENT,40000,Source Verified,Fully Paid
1065232,12000, 36 months,12.42,400.99,B,9 years,MORTGAGE,105000,Not Verified,Fully Paid
1052492,8650, 36 months,14.27,296.78,C,4 years,MORTGAGE,45000,Source Verified,Fully Paid
1066664,21000, 60 months,17.27,294.98,D,10+ years,MORTGAGE,109000,Verified,Current
1066659,16000, 60 months,17.27,399.97,D,2 years,RENT,50000,Source Verified,Current
1066763,12000, 36 months,12.42,400.99,B,2 years,RENT,83000,Not Verified,Fully Paid
1066798,9500, 36 months,12.69,318.68,B,< 1 year,MORTGAGE,52500,Source Verified,Charged Off
1066639,7400, 36 months,13.49,251.09,C,< 1 year,OWN,25000,Source Verified,Fully Paid
1066633,14400, 36 months,13.49,488.6,C,10+ years,MORTGAGE,60000,Not Verified,Fully Paid
1060644,24250, 60 months,23.91,519.76,G,7 years,MORTGAGE,120000,Verified,Fully Paid
1066766,7200, 36 months,7.9,225.29,A,3 years,RENT,68000,Source Verified,Charged Off
1066613,26000, 60 months,16.77,642.96,D,10+ years,MORTGAGE,53000,Verified,Charged Off
1065648,7000, 60 months,11.71,154.69,B,6 years,MORTGAGE,69600,Verified,Charged Off
1066768,4000, 36 months,7.51,124.45,A,< 1 year,RENT,65000,Source Verified,Fully Paid
1066617,1500, 36 months,17.27,53.69,D,10+ years,MORTGAGE,144000,Verified,Fully Paid
1062015,19600, 36 months,12.42,654.94,B,2 years,RENT,75000,Verified,Fully Paid
1066598,2500, 36 months,11.71,82.69,B,7 years,MORTGAGE,29000,Verified,Fully Paid
1066503,10000, 36 months,12.69,335.45,B,2 years,RENT,70000,Not Verified,Charged Off
1066530,10000, 36 months,6.62,307.04,A,5 years,RENT,45000,Not Verified,Fully Paid
1066520,4225, 36 months,12.42,141.18,B,5 years,MORTGAGE,55200,Not Verified,Fully Paid
1065929,3500, 36 months,7.9,109.52,A,7 years,MORTGAGE,61440,Not Verified,Fully Paid
1066582,12000, 36 months,6.62,368.45,A,10+ years,MORTGAGE,56000,Not Verified,Fully Paid
1066348,16500, 36 months,8.9,523.93,A,< 1 year,RENT,47000,Source Verified,Fully Paid
1061430,22000, 60 months,21.67,603.5,F,< 1 year,RENT,55000,Verified,Fully Paid
1061519,12000, 36 months,14.65,413.94,C,1 year,RENT,71000,Verified,Fully Paid
1066344,15600, 60 months,12.69,352.48,B,10+ years,RENT,50000,Source Verified,Current
1066480,10800, 36 months,12.42,360.89,B,8 years,RENT,135000,Verified,Fully Paid
1066471,14000, 36 months,12.42,467.82,B,10+ years,MORTGAGE,63000,Not Verified,Fully Paid
1064063,18825, 60 months,17.58,473.75,D,4 years,MORTGAGE,44000,Verified,Current
1066318,6000, 36 months,13.49,203.59,C,5 years,MORTGAGE,50000,Not Verified,Fully Paid
1066453,12000, 36 months,9.91,386.7,B,5 years,RENT,80000,Not Verified,Fully Paid
1063090,10000, 36 months,12.42,334.16,B,4 years,RENT,45000,Not Verified,Fully Paid
1061406,8000, 36 months,7.9,250.33,A,2 years,RENT,78000,Not Verified,Fully Paid
1066278,14125, 36 months,9.91,455.18,B,1 year,RENT,33000,Verified,Fully Paid
1066281,14000, 36 months,12.69,469.63,B,5 years,RENT,62800,Not Verified,Fully Paid
1056150,13200, 60 months,17.27,224.36,D,3 years,RENT,26400,Source Verified,Fully Paid
1066434,4000, 36 months,19.03,146.69,E,10+ years,MORTGAGE,80000,Not Verified,Fully Paid
1048526,4000, 36 months,12.69,134.18,B,2 years,RENT,25000,Not Verified,Charged Off
1028566,10500, 36 months,6.03,319.58,A,10+ years,MORTGAGE,65000,Source Verified,Fully Paid
1066424,5500, 36 months,7.9,172.1,A,10+ years,OWN,59000,Source Verified,Fully Paid
1066212,7350, 36 months,11.71,243.11,B,1 year,RENT,33000,Verified,Fully Paid
1066232,10000, 36 months,12.42,334.16,B,10+ years,RENT,39000,Source Verified,Charged Off
1056219,12000, 36 months,7.51,373.33,A,10+ years,RENT,42000,Not Verified,Fully Paid
1066199,5000, 60 months,11.71,110.5,B,5 years,MORTGAGE,38004,Not Verified,Fully Paid
1060851,8000, 60 months,11.71,176.79,B,3 years,OWN,31000,Source Verified,Fully Paid
972383,4500, 36 months,8.9,142.89,A,10+ years,MORTGAGE,50700,Verified,Fully Paid
1066191,18000, 36 months,12.42,601.48,B,1 year,OWN,75000,Verified,Fully Paid
1066173,12300, 60 months,13.49,282.96,C,2 years,MORTGAGE,30000,Source Verified,Current
1066379,12000, 36 months,13.49,407.17,C,6 years,RENT,40000,Not Verified,Fully Paid
1066364,10000, 36 months,13.49,339.31,C,10+ years,MORTGAGE,50000,Not Verified,Fully Paid
1066140,6000, 36 months,7.9,187.75,A,7 years,MORTGAGE,80000,Not Verified,Fully Paid
1066171,12000, 36 months,12.69,402.54,B,4 years,RENT,40000,Not Verified,Fully Paid
1066162,12000, 36 months,8.9,381.04,A,7 years,RENT,80000,Not Verified,Charged Off
1040154,7000, 36 months,11.71,231.54,B,2 years,RENT,75000,Source Verified,Fully Paid
1066155,35000, 60 months,18.64,690.56,E,8 years,MORTGAGE,85000,Verified,Fully Paid
1065382,1400, 36 months,7.9,43.81,A,1 year,RENT,28800,Not Verified,Fully Paid
1063447,16000, 60 months,13.49,368.08,C,10+ years,RENT,35000,Verified,Charged Off
1065932,3200, 36 months,9.91,103.12,B,9 years,RENT,61200,Not Verified,Fully Paid
1065936,8000, 36 months,7.9,250.33,A,1 year,RENT,40000,Not Verified,Fully Paid
1066112,11875, 60 months,12.69,268.32,B,< 1 year,RENT,25920,Source Verified,Charged Off
1066084,5000, 36 months,6.03,152.18,A,9 years,MORTGAGE,54000,Not Verified,Fully Paid
1066081,1800, 36 months,6.62,55.27,A,10+ years,RENT,18000,Not Verified,Fully Paid
1065896,35000, 36 months,8.9,1111.37,A,5 years,RENT,85000,Verified,Fully Paid
1066065,18000, 36 months,8.9,571.56,A,5 years,RENT,78000,Verified,Fully Paid
1066071,14000, 36 months,7.9,438.07,A,10+ years,OWN,45600,Not Verified,Charged Off
1062094,5000, 36 months,12.42,167.08,B,2 years,RENT,70000,Not Verified,Fully Paid
1061154,8000, 36 months,15.96,281.1,C,4 years,RENT,70000,Source Verified,Fully Paid
1066061,10000, 36 months,6.03,304.36,A,9 years,MORTGAGE,80000,Not Verified,Fully Paid
1065863,10000, 36 months,7.51,311.11,A,5 years,RENT,50000,Verified,Fully Paid
1065862,12000, 36 months,12.42,400.99,B,10+ years,MORTGAGE,35000,Verified,Fully Paid
1065854,23200, 36 months,7.9,725.94,A,3 years,MORTGAGE,65000,Verified,Fully Paid
1065145,18000, 60 months,15.27,430.78,C,1 year,MORTGAGE,84000,Verified,Current
1062260,4800, 36 months,15.27,167.03,C,10+ years,MORTGAGE,75000,Not Verified,Fully Paid
1065842,7300, 36 months,11.71,241.46,B,6 years,RENT,35000,Not Verified,Fully Paid
1066018,10400, 36 months,9.91,335.14,B,6 years,RENT,40000,Source Verified,Fully Paid
1049352,6600, 36 months,9.91,212.69,B,1 year,MORTGAGE,100000,Not Verified,Fully Paid
1066016,12000, 36 months,8.9,381.04,A,7 years,OWN,40000,Not Verified,Fully Paid
1065997,13250, 36 months,17.27,474.19,D,10+ years,RENT,52000,Verified,Fully Paid
1061891,12000, 36 months,11.71,396.92,B,3 years,RENT,92500,Source Verified,Fully Paid
1065752,25000, 36 months,9.91,805.63,B,9 years,RENT,61000,Source Verified,Fully Paid
1063126,6000, 36 months,10.65,195.44,B,10+ years,RENT,36000,Not Verified,Fully Paid
1065738,12000, 36 months,7.51,373.33,A,10+ years,MORTGAGE,68000,Not Verified,Fully Paid
1061467,14400, 36 months,11.71,476.3,B,1 year,RENT,80000,Not Verified,Fully Paid
1065721,10000, 36 months,12.42,334.16,B,10+ years,RENT,43000,Not Verified,Fully Paid
